INEX_LD-20120111	vietnam war movie
INEX_LD-20120112	vietnam war facts
INEX_LD-20120121	vietnam food recipes
INEX_LD-20120122	vietnamese food blog
INEX_LD-20120131	vietnam travel national park
INEX_LD-20120132	vietnam travel airports
INEX_LD-20120211	guitar chord tuning
INEX_LD-20120212	guitar chord minor
INEX_LD-20120221	guitar classical flamenco
INEX_LD-20120222	guitar classical bach
INEX_LD-20120231	guitar origin Russia
INEX_LD-20120232	guitar origin blues
INEX_LD-20120311	tango culture movies
INEX_LD-20120312	tango culture countries
INEX_LD-20120321	tango music  composers
INEX_LD-20120322	tango music instruments
INEX_LD-20120331	tango dance styles
INEX_LD-20120332	tango dance history
INEX_LD-20120411	bicycle sport races
INEX_LD-20120412	bicycle sport disciplines
INEX_LD-20120421	bicycle holiday towns
INEX_LD-20120422	bicycle holiday nature
INEX_LD-20120431	bicycle benefits health
INEX_LD-20120432	bicycle benefits environment
INEX_LD-20120511	female rock singers
INEX_LD-20120512	south korean girl groups
INEX_LD-20120521	electronic music genres
INEX_LD-20120522	digital music notation formats
INEX_LD-20120531	music conferences
INEX_LD-20120532	intellectual property rights lobby
INEX_LD-2009022	Szechwan dish food cuisine
INEX_LD-2009039	roman architecture
INEX_LD-2009053	finland car industry manufacturer saab sisu
INEX_LD-2009061	france second world war normandy
INEX_LD-2009062	social network group selection
INEX_LD-2009063	D-Day normandy invasion
INEX_LD-2009074	web ranking scoring algorithm
INEX_LD-2009096	Eiffel
INEX_LD-2009111	europe solar power facility
INEX_LD-2009115	virtual museums
INEX_LD-2010004	Indian food
INEX_LD-2010014	composer museum
INEX_LD-2010019	gallo roman architecture in paris
INEX_LD-2010020	electricity source in France
INEX_LD-2010037	social network API
INEX_LD-2010043	List of films from the surrealist category
INEX_LD-2010057	Einstein Relativity theory
INEX_LD-2010069	summer flowers
INEX_LD-2010100	house concrete wood
INEX_LD-2010106	organic food advantages disadvantages
INEX_LD-2012301	Niagara falls origin lake
INEX_LD-2012303	 Valley fever fungal infection San Joaquin
INEX_LD-2012305	North Dakota's lowest river of another colour
INEX_LD-2012307	 July, 1850  president died Millard Fillmore sworn following day
INEX_LD-2012309	residents small island city-state  Malay Peninsula Chinese
INEX_LD-2012311	John Lennon Yoko Ono album Starting Over
INEX_LD-2012313	John Turturro 1991 Coen Brothers film
INEX_LD-2012315	Baguio Quezon City  Manila official independence 1945
INEX_LD-2012317	daggeroso inclined to use a dagger novel Sons and Lovers
INEX_LD-2012318	Directed Bela Glen Glenda Bride Monster Plan 9 Outer Space
INEX_LD-2012319	 1994 short story collection Alice Munro is Open
INEX_LD-2012321	Asian port state-city Sir Stamford Raffles
INEX_LD-2012323	Large glaciers island nation Langjokull Hofsjokull Vatnajokull
INEX_LD-2012325	successor James G. Blaine studied law
INEX_LD-2012327	Beloved author African-American Nobel Prize Literature
INEX_LD-2012329	Sweden Iceland currency
INEX_LD-2012331	Seoul Korea river name ethnic group China
INEX_LD-2012333	Prime minister Canada nicknamed Silver-Tongued Laurier longest unbroken term
INEX_LD-2012335	U.S. president authorise nuclear weapons against Japan
INEX_LD-2012336	1906 territory Papua island Australian
INEX_LD-2012337	Texas city Baylor University tornado 1953
